ln,dob,gn,fn,is_duplicate
SMITH JR,01-03-1968,F,WILLIAM,0
ROTHMEYER JR,01-03-1968,F,WILLIAM,0
BLAND III,21-02-1962,F,WILLIAM,1
BLAND JR,21-02-1962,F,BILL,0
BLAND,21-02-1962,F,WILLIAM,1
BLAND JR,21-02-1962,F,WILLIAM,1
BLAND JR,08-06-1954,F,WILLIAM,0
BLAND JR,08-06-1954,F,WILLIAM,1
BLAND JR,25-10-1953,F,WILLIAM,0
BLAND JR,25-10-1953,F,WILLIAM,1
SHAFFER JR,25-10-1953,F,WILLIAM,0
DUNCAN JR,25-10-1953,F,THOMAS,0
CARLSON JR,25-10-1953,F,ROY,0
ASBY JR,01-03-1968,F,WILLIAM,0
SALTER JR,01-03-1968,F,WILLIAM,0
SALTER JR,01-03-1968,F,WILLIAM,1
BLAND JR,21-02-1962,F,WILLIAM,0
BLAND JR,21-02-1962,F,WILLIAM,1
BLAND JR,21-02-1962,F,WILLIAM,1
SHAFFER JR,21-02-1962,F,WILLIAM,0
SHAFFER JR,21-02-1962,F,WILLIAM,1
CARLSON JR,25-10-1953,F,RON,1
DUNCAN JR,25-10-1953,F,ROY,0
MICHAELSON,25-10-1953,M,ROY,0
MICHAELSON JR,25-10-1953,M,ROY,1
MICHAELSON,25-10-1953,M,ROY,1
MICHAELSON JR,25-10-1953,M,ROY,1
MICHAELSON JR,01-05-1951,M,ROY,0
MICHAELSON JR,17-06-1948,M,ROY,0
MICHAELSON JR,17-06-1948,M,ROY,1
MICHAELSON JR,09-04-1947,M,ROY,0
MICHAELSON JR,09-04-1947,M,ROBERT,0
MICHAELSON JR,09-04-1947,M,BOB,0
MUSTAPHA JR,11-03-1947,M,OWEN,0
MUSTAPHA JR,11-03-1947,M,OWAN,1
HOUGHTON JR,31-01-1946,M,LAWRENCE,0
HOUGHTON JR,31-01-1946,M,LAWRENCE,1
HOUGHTON JR,31-01-1946,M,LAWRENCE,1
LIND JR,31-01-1946,M,LAWRENCE,0
LIND JR,31-01-1946,M,LAWRENCE,1
LIND JR,31-01-1946,M,KENNETH,0
LIND JR,31-01-1946,M,KENNETH,1
LIND JR,20-01-1946,M,JOHN,0
CAIN JR,20-01-1946,M,JOHN,0
CLARK,09-06-1945,M,JOHN,0
CLARK,09-02-1945,M,RONALD,0
CLARK,09-02-1945,M,DONALD,1
CLARK,16-12-1944,M,JOHN,0
CLARK JR,16-12-1944,M,JOHN,1
CLARK JR,16-12-1944,M,JOHN,1
MICHAELSON JR,16-12-1944,M,JOHN,0
MICHAELSON JR,16-12-1944,M,JOHN,1
MICHAELSON JR,16-12-1944,M,JOHN,1
MICHAELSON JR,24-04-1940,M,JOHN,0
MICHAELSON JR,24-04-1940,M,JOHN,1
MICHAELSON JR,24-06-1939,M,JOHN,0
MICHAELSON JR,24-06-1939,M,JOHN,1
MICHAELSON JR,24-06-1939,M,JOHN,1
MICHAELSON JR,24-06-1939,M,JAMES,0
MICHAELSON JR,24-06-1939,M,JAMES,1
MICHAELSON JR,24-06-1939,M,JACK,0
MICHAELSON JR,09-06-1939,M,JACK,0
LARSON JR,09-06-1939,M,HAROLD,0
LARSON JR,09-06-1939,M,HAROLD,1
MUSTAPHA JR,07-10-1937,M,HAROLD,0
HOUGHTON JR,07-10-1937,M,HAROLD,0
MELVIN JR,07-10-1937,M,HAROLD,0
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
MELVIN JR,07-10-1937,M,HAROLD,1
CHAVAS JR,07-10-1937,M,HAROLD,0
CHAVAS JR,07-10-1937,M,HAROLD,1
CHAVAS JR,07-10-1937,M,HAROLD,1
CHAVAS JR,07-10-1937,M,HAROLD,1
MICHAELSON JR,07-10-1937,M,HAROLD,0
MICHAELSON JR,07-10-1937,M,HAROLD,1
SMITH JR,07-10-1937,M,HAROLD,0
CHAVAS JR,07-10-1937,M,HAROLD,1
CHAVAS JR,07-10-1937,M,HAROLD,1
FAGEN JR,07-10-1937,M,HAROLD,0
FAGEN JR,07-10-1937,M,HAROLD,1
FAGEN JR,07-10-1937,M,GEORGE,0
GRIFFIN JR,07-10-1937,M,DARH,0
GRIFFIN JR,10-07-1937,M,DARL,0
GRIFFIN JR,07-05-1937,M,DARL,0
GRIFFIN JR,07-05-1937,M,CLIFFORD,0
GRIFFIN JR,07-05-1937,M,CLIFFORD,1
GRIFFIN JR,07-05-1937,M,CLIFFORD,1
GRIFFIN JR,07-05-1937,M,CLARENCE,0
HANNA,24-11-1934,M,ADDISON J,0
HANNA,24-11-1934,M,ADDISON JOHN,1
HANNA,24-11-1934,M,ADDISON,1
HANNA,24-11-1934,M,ADDISON,1
HANNA,24-11-1934,M,ADDISON,1
GALETICH JR,15-10-1932,M,ADDISON,0
FUNARO JONES,06-12-1937,F,HARRIET,0
FUNARO J,06-12-1937,F,HARRIET,1
FUNARO,06-12-1937,F,HARRIET,1
DEEP,24-06-1939,M,DETROJA,0
DEEP,07-05-1937,M,PATEL,0
DEEP,07-05-1937,M,PATEL,1
MANISH,24-06-1939,M,PANDEY,0
MANISH,07-10-1937,M,PATEL,0
MANISH ,11-03-1947,M,CHOPRA,1
MANISH ,11-03-1947,M,CHOPRA ,0
PRIYANKA ,25-10-1953,F,GAMBHIR,0
PRIYANKA ,01-03-1968,F,CHOPRA ,0
PRIYANKA ,25-10-1953,F,GAMBHIR,1
PRIYANKA ,02-09-1968,F,SHARMA,0
DHONI ,07-10-1937,M,SINGH ,0
DHONI ,06-01-1937,M,YADAV,0
DHONI ,16-04-1937,M,GUPTA,0
DHONI ,07-10-1937,M,SINGH ,1
DEEPIKA ,15-09-1955,F,AJIT,0
DEEPIKA ,25-10-1953,F,PADUKON,0
DEEPIKA ,25-10-1953,F,PADUKON,1
DEEPIKA ,10-12-1960,F,DAS,0
RAJ,02-09-1968,M,SANGANI,0
RAJ,03-05-1964,M,PATEL,0
RAJ,10-05-1945,M,SHARMA,0
RUSHI ,10-05-1945,M,PANCHAL,0
